,PartNumber,Info
0,0,"2,0;1.37609,2.29814,2.03986/1.37609,2.29814,2.03986/1.37609,2.29814,2.03986;1,28,1,0;40.507149349143;1,0,1;0,1,0;3,1,2;
"
1,0,"0,0;1.38217,2.29613,2.03476/1.38217,2.29613,2.03476/1.38217,2.29613,2.03476;1,28,1,0;40.507150389704;1,0,1;1,0,0;4,1,2;
"
2,0,"0,0;1.377,2.29489,2.03827/1.377,2.29489,2.03827/1.377,2.29489,2.03827;1,28,1,0;40.507150831713;1,0,1;1,0,0;1,1,2;
"
3,0,"0,0;1.36503,2.27903,2.10525/1.36503,2.27903,2.10525/1.36503,2.27903,2.10525;1,28,1,0;40.50723799947;1,0,1;1,0,0;1,1,2;
"
4,1,"2,1;-2.2615,2.23265,1.40158/-2.2615,2.23265,1.40158/-2.2615,2.23265,1.40158;1,24,1,0;40.474228449939;1,0,1;1,0,0;4,1,2;
"
5,3,"2,3;-0.15142,1.60672,-2.73391/-0.15142,1.60672,-2.73391/-0.15142,1.60672,-2.73391;1,4,1,0;40.0928159108951;1,0,1;0,1,0;2,1,2;
"
6,5,"2,5;3.1567,2.21041,-1.45254/3.1567,2.21041,-1.45254/3.1567,2.21041,-1.45254;1,11,1,0;40.224094600688;1,0,1;1,0,0;4,1,2;
"
7,6,"2,6;-1.5764,2.1526,-0.978114/-1.5764,2.1526,-0.978114/-1.5764,2.1526,-0.978114;1,7,1,0;40.605199195934;1,0,1;0,1,0;2,1,2;
"
8,7,"2,7;3.96853,0.602348,1.97957/3.96853,0.602348,1.97957/3.96853,0.602348,1.97957;1,28,1,0;40.734107170483;1,0,1;1,0,0;4,1,2;
"
9,9,"2,9;-2.68886,-2.519,-1.37349/-2.68886,-2.519,-1.37349/-2.68886,-2.519,-1.37349;1,9,1,0;40.200889991522;1,0,1;1,0,0;1,1,2;
"
10,9,"0,9;-2.10931,-0.834287,-0.728845/-2.10931,-0.834287,-0.728845/-2.10931,-0.834287,-0.728845;1,10,1,0;40.422845983157;1,0,1;0,1,0;2,1,2;
"
11,9,"0,9;-1.38334,1.28577,0.0485636/-1.38334,1.28577,0.0485636/-1.38334,1.28577,0.0485636;1,17,1,0;40.651764093358;1,0,1;1,0,0;4,1,2;
"
12,9,"0,9;-1.04366,2.34549,0.427033/-1.04366,2.34549,0.427033/-1.04366,2.34549,0.427033;1,25,1,0;40.0546398782735;1,0,1;1,0,0;4,1,2;
"
13,13,"2,13;-2.95704,2.50115,-2.15864/-2.95704,2.50115,-2.15864/-2.95704,2.50115,-2.15864;1,6,1,0;40.501425905287;1,0,1;1,0,0;2,3,0/2,5,0/4,1,2;
"
14,13,"0,13;-1.6162,-2.53623,-0.437241/-1.61603,-2.5361,-0.436901/-1.61637,-2.53635,-0.437581;1,9,1,0;40.978255626349;0,2,0;0,2,1;1,5,0/1,6,0/1,8,0/1,9,0/2,1,1/2,4,0/3,1,0/3,2,1/4,4,0;
"
15,13,"0,13;-1.66491,-2.35108,-0.496739/-1.66491,-2.35108,-0.496739/-1.66491,-2.35108,-0.496739;1,10,1,0;40.494974955556;1,0,1;1,0,0;1,1,2;
"
16,18,"2,18;0.335315,2.02392,-1.50265/0.335315,2.02392,-1.50265/0.335315,2.02392,-1.50265;1,7,1,0;40.412305306608;1,0,1;1,0,0;4,1,2;
"
17,18,"0,18;0.3269,2.02446,-1.5024/0.3269,2.02446,-1.5024/0.3269,2.02446,-1.5024;1,7,1,0;40.412306099219;0,1,0;1,0,0;2,7,0/4,1,1;
"
18,18,"0,18;-2.88777,-2.24978,-0.819457/-2.88777,-2.24978,-0.819457/-2.88777,-2.24978,-0.819457;1,9,1,0;40.553834287098;1,0,1;1,0,0;1,1,2;
"
19,19,"2,19;0.576302,-0.225966,2.93338/0.576302,-0.225966,2.93338/0.576302,-0.225966,2.93338;1,37,1,0;40.829375998824;1,0,1;1,0,0;4,1,2;
"
20,21,"2,21;-0.926291,0.126273,-3.52687/-0.926291,0.126273,-3.52687/-0.926291,0.126273,-3.52687;1,1,1,0;40.728414635208;0,1,0;1,0,0;1,1,1/3,7,0;
"
21,21,"0,21;-1.11826,-0.944089,0.160386/-1.11826,-0.944089,0.160386/-1.11826,-0.944089,0.160386;1,16,1,0;40.863339876398;1,0,1;1,0,0;1,1,2;
"
22,22,"2,22;0.44975,-2.96531,-0.677889/0.44975,-2.96531,-0.677889/0.44975,-2.96531,-0.677889;1,9,1,0;40.607458297108;1,0,1;0,1,0;1,3,0/2,1,0/2,3,0/3,1,2/3,5,0;
"
23,25,"2,25;1.00802,-3.13804,0.463803/1.00802,-3.13804,0.463803/1.00802,-3.13804,0.463803;1,18,1,0;40.220660268267;1,0,1;0,1,0;3,1,2;
"
24,25,"0,25;0.918099,-3.11322,0.496773/0.918099,-3.11322,0.496773/0.918099,-3.11322,0.496773;1,18,1,0;40.224773726527;0,1,0;1,0,0;2,4,0/3,1,0/3,4,0/4,1,1;
"
25,25,"0,25;-1.49977,-2.42428,1.33051/-1.49977,-2.42428,1.33051/-1.49977,-2.42428,1.33051;1,21,1,0;40.917665576743;0,1,0;1,0,0;4,1,1;
"
26,25,"0,25;-2.82635,-2.06374,1.77158/-2.82635,-2.06374,1.77158/-2.82635,-2.06374,1.77158;1,24,1,0;40.644978901831;1,0,1;0,1,0;3,1,2/3,4,0/4,2,0;
"
27,26,"2,26;-0.0462401,2.56598,-2.96702/-0.0458827,2.56604,-2.96696/-0.0465974,2.56593,-2.96708;1,2,1,0;40.774689727841;2,1,1;1,1,0;3,1,2/4,3,1;
"
28,26,"0,26;-0.255438,2.26821,-1.93215/-0.255438,2.26821,-1.93215/-0.255438,2.26821,-1.93215;1,4,1,0;40.78352688419;1,0,1;0,1,0;2,1,2;
"
29,28,"2,28;1.58008,0.666041,2.04609/1.58008,0.666041,2.04609/1.58008,0.666041,2.04609;1,28,1,0;40.691829390249;1,0,1;0,1,0;2,1,2;
"
30,29,"2,29;-2.75074,0.950086,-1.47893/-2.75041,0.950495,-1.47892/-2.75107,0.949677,-1.47894;1,14,1,0;40.013451368449;2,1,1;2,0,0;1,5,2/4,1,1;
"
31,31,"2,31;-2.25696,-3.63986,0.442901/-2.25696,-3.63986,0.442901/-2.25696,-3.63986,0.442901;1,18,1,0;40.178303719637;1,0,1;0,1,0;2,2,0/3,1,2/3,6,0/3,7,0/4,6,0;
"
32,31,"0,31;-0.525784,-1.68276,0.858135/-0.525784,-1.68276,0.858135/-0.525784,-1.68276,0.858135;1,22,1,0;40.0235292867911;1,0,1;0,1,0;2,1,2;
"
33,31,"0,31;1.97163,1.06706,1.41618/1.97163,1.06706,1.41618/1.97163,1.06706,1.41618;1,26,1,0;40.810286040033;0,0,0;0,0,0;1,1,3/2,2,0/2,6,0;
"
34,31,"0,31;1.84278,0.915992,1.39285/1.84278,0.915992,1.39285/1.84278,0.915992,1.39285;1,26,1,0;40.854415687283;1,0,1;1,0,0;4,1,2;
"
35,34,"2,34;2.02568,1.94489,-1.75275/2.02568,1.94489,-1.75275/2.02568,1.94489,-1.75275;1,11,1,0;40.157029851737;0,1,0;1,0,0;1,1,1;
"
36,35,"2,35;0.0926204,4.53995,-0.975499/0.0926204,4.53995,-0.975499/0.0926204,4.53995,-0.975499;1,7,1,0;40.856048711317;1,0,1;1,0,0;1,1,2;
"
37,35,"0,35;0.0956778,2.42838,0.481451/0.0956778,2.42838,0.481451/0.0956778,2.42838,0.481451;1,25,1,0;40.0421382366808;1,0,1;1,0,0;1,1,2;
"
38,36,"2,36;0.0168375,3.43554,1.94102/0.0168375,3.43554,1.94102/0.0168375,3.43554,1.94102;1,31,1,0;40.243714821082;1,0,1;0,1,0;2,1,2;
"
39,36,"0,36;0.166533,-0.430682,3.46035/0.166533,-0.430682,3.46035/0.166533,-0.430682,3.46035;1,44,1,0;40.361371875483;1,0,1;0,1,0;2,1,2/3,2,0;
"
40,36,"0,36;0.168351,-0.435102,3.45999/0.168351,-0.435102,3.45999/0.168351,-0.435102,3.45999;1,44,1,0;40.361369141716;0,1,0;1,0,0;1,1,1;
"
41,38,"2,38;1.90549,-1.08571,2.69477/1.90549,-1.08571,2.69477/1.90549,-1.08571,2.69477;1,34,1,0;40.594607041203;0,1,0;0,1,0;2,1,1;
"
42,40,"2,40;0.963424,2.23288,0.174725/0.963424,2.23288,0.174725/0.963424,2.23288,0.174725;1,17,1,0;40.571349515552;1,0,1;0,1,0;2,1,2;
"
43,40,"0,40;0.973552,2.23034,0.171563/0.973552,2.23034,0.171563/0.973552,2.23034,0.171563;1,17,1,0;40.57204153171;1,0,1;1,0,0;1,1,2;
"
44,41,"2,41;0.427032,-0.317006,2.6642/0.427032,-0.317006,2.6642/0.427032,-0.317006,2.6642;1,34,1,0;40.75081817252;1,0,1;1,0,0;4,1,2;
"
45,42,"2,42;-2.02772,-1.62719,-2.497/-2.02772,-1.62719,-2.497/-2.02772,-1.62719,-2.497;1,5,1,0;40.328238700021;0,1,0;1,0,0;4,1,1;
"
46,43,"2,43;0.726434,-1.59259,3.9103/0.726434,-1.59259,3.9103/0.726434,-1.59259,3.9103;1,45,1,0;40.810050132454;0,1,0;1,0,0;1,1,1/2,2,0;
"
47,43,"0,43;0.725818,-1.59461,3.90528/0.725818,-1.59461,3.90528/0.725818,-1.59461,3.90528;1,45,1,0;40.810050505564;1,0,1;1,0,0;4,1,2;
"
48,45,"2,45;-0.540218,2.93201,-3.4568/-0.540218,2.93201,-3.4568/-0.540218,2.93201,-3.4568;1,2,1,0;40.148688411507;1,0,1;1,0,0;1,1,2;
"
49,45,"0,45;-1.82341,-2.14611,-1.43043/-1.82341,-2.14611,-1.43043/-1.82341,-2.14611,-1.43043;1,9,1,0;40.165524862775;1,0,1;0,1,0;3,1,2;
"
50,52,"2,52;-2.90384,-1.06815,-1.71681/-2.90384,-1.06815,-1.71681/-2.90384,-1.06815,-1.71681;1,6,1,0;40.856612750821;1,0,1;0,1,0;2,1,2/2,6,0/3,7,0;
"
51,55,"2,55;-3.91999,0.870904,-0.755274/-3.91999,0.870904,-0.755274/-3.91999,0.870904,-0.755274;1,10,1,0;40.297222705233;1,0,1;1,0,0;4,1,2;
"
52,55,"0,55;-3.80442,0.509504,0.137523/-3.8035,0.510067,0.138574/-3.80535,0.50894,0.136473;1,14,1,0;40.826325819266;0,4,0;2,2,0;1,6,1/1,7,1/2,1,1/2,7,0/2,9,1;
"
53,55,"0,55;-3.80544,0.50987,0.133684/-3.80544,0.50987,0.133684/-3.80544,0.50987,0.133684;1,14,1,0;40.826325942367;1,0,1;1,0,0;1,1,2/1,10,0;
"
54,56,"2,56;0.644337,-0.744185,3.51382/0.644337,-0.744185,3.51382/0.644337,-0.744185,3.51382;1,44,1,0;40.177249137279;1,0,1;0,1,0;2,1,2;
"
55,60,"2,60;-1.0307,2.84239,-0.457122/-1.0307,2.84239,-0.457122/-1.0307,2.84239,-0.457122;1,17,1,0;40.0866218485754;1,0,1;0,1,0;3,1,2;
"
56,61,"2,61;-0.522897,-1.36257,-2.21127/-0.522897,-1.36257,-2.21127/-0.522897,-1.36257,-2.21127;1,5,1,0;40.483637636113;1,0,1;0,1,0;3,1,2;
"
57,61,"0,61;-0.505244,-1.36227,-2.14033/-0.505244,-1.36227,-2.14033/-0.505244,-1.36227,-2.14033;1,5,1,0;40.894071648626;1,0,1;1,0,0;1,1,2;
"
58,61,"0,61;0.726968,-1.90566,3.88557/0.726968,-1.90566,3.88557/0.726968,-1.90566,3.88557;1,45,1,0;40.925099179497;1,0,1;1,0,0;4,1,2;
"
59,62,"2,62;0.0585728,2.68247,0.125083/0.0586626,2.68255,0.125539/0.0584829,2.68238,0.124626;1,17,1,0;40.56037574383;0,2,0;1,1,0;2,3,0/2,5,1/3,1,0/4,1,1;
"
60,62,"0,62;-0.0279417,2.92301,-0.0882721/-0.0279417,2.92301,-0.0882721/-0.0279417,2.92301,-0.0882721;1,17,1,0;40.206420529838;1,0,1;1,0,0;4,1,2;
"
61,62,"0,62;0.0589434,2.68299,0.123861/0.0592242,2.68361,0.124626/0.0586626,2.68238,0.123097;1,17,1,0;40.560375695008;1,0,1;1,0,0;1,1,2/2,10,0/3,1,0/3,7,0/3,8,0/4,8,1;
"
62,64,"2,64;-1.45014,2.86998,-2.95866/-1.45014,2.86998,-2.95866/-1.45014,2.86998,-2.95866;1,2,1,0;40.791356584364;1,0,1;1,0,0;1,1,2;
"
63,65,"2,65;2.69369,-1.93885,1.05019/2.69404,-1.93885,1.0504/2.69334,-1.93886,1.04998;1,22,1,0;40.236039043719;2,1,1;2,0,0;1,1,2/4,1,1;
