,PartNumber,Info
0,1,"2,1;1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961;1,11,1,0;40.737890174766;0,0,0;0,0,0;3,1,3;
"
1,1,"0,1;2.79208,0.757158,-0.751084/2.79208,0.757158,-0.751084/2.79208,0.757158,-0.751084;1,12,1,0;40.37412512073;0,1,0;0,1,0;3,1,1;
"
2,3,"2,3;-4.01683,0.170203,-0.544596/-4.01683,0.170203,-0.544596/-4.01683,0.170203,-0.544596;1,10,1,0;40.669913333896;0,1,0;0,1,0;3,1,1/3,2,0;
"
3,3,"0,3;-4.01822,0.173271,-0.551696/-4.01822,0.173271,-0.551696/-4.01822,0.173271,-0.551696;1,10,1,0;40.669904174723;1,0,1;1,0,0;4,1,2;
"
4,4,"2,4;-3.98651,-0.904114,-0.8685/-3.98651,-0.904114,-0.8685/-3.98651,-0.904114,-0.8685;1,10,1,0;40.408595283513;1,0,1;0,1,0;3,1,2;
"
5,4,"0,4;-3.9876,-0.906615,-0.873813/-3.9876,-0.906615,-0.873813/-3.9876,-0.906615,-0.873813;1,10,1,0;40.408595548447;1,0,1;1,0,0;1,1,2;
"
6,5,"2,5;0.744899,1.49637,-2.3947/0.744899,1.49637,-2.3947/0.744899,1.49637,-2.3947;1,4,1,0;40.385586793844;1,0,1;0,1,0;3,1,2;
"
7,5,"0,5;-0.590337,-1.53961,-0.203307/-0.590337,-1.53961,-0.203307/-0.590337,-1.53961,-0.203307;1,16,1,0;40.310128651258;1,0,1;0,1,0;2,1,2/2,9,0;
"
8,7,"2,7;0.2387,-2.21284,2.30675/0.2387,-2.21284,2.30675/0.2387,-2.21284,2.30675;1,33,1,0;40.674641441468;1,0,1;1,0,0;1,1,2;
"
9,9,"2,9;1.05815,3.65536,-0.653095/1.05816,3.65543,-0.652855/1.05814,3.65529,-0.653335;1,13,1,0;40.213813290691;0,2,0;0,2,0;2,1,1/2,2,1;
"
10,10,"2,10;1.5405,-1.56728,-0.413908/1.5405,-1.56728,-0.413908/1.5405,-1.56728,-0.413908;1,12,1,0;40.660150139841;1,0,1;1,0,0;4,1,2;
